BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
weiss mét.,Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,1152.0,grau,5900,LAMBORGHINI,"","\"Ab MFK\"",2,Automatik-Getriebe
blau mét.,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,124.0,bordeaux,42500,FERRARI,F360,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
grau mét.,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,306.0,schwarz,119000,VW,PHAETON,"\"Ab MFK\"",5,Automat sequentiell
grau mét.,SUV / Geländewagen,3530,Zuzwil,null,Occasion,null,null,5,Allrad,3,1989,Benzin,168,359.0,grau,151300,LAND ROVER,RANGE ROVER,null,5,Schaltgetriebe
grün mét.,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,405.0,braun,56500,FERRARI,MONDIAL,"\"Ab MFK\"",4,Schaltgetriebe manuell
rot,Cabriolet,7990,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,2001,Benzin,800,451.0,schwarz,18600,DODGE,VIPER,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe
schwarz mét.,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,2000,Benzin,492,615.0,schwarz,20600,LAMBORGHINI,DIABLO,"\"Ab MFK\"",2,Schaltgetriebe manuell
blau,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,12,2002,Benzin,462,62.0,schwarz,61300,PORSCHE,911,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell
blau,Coupé,5461,Zuzwil,288 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,9,2006,Benzin,388,83.0,schwarz,15100,MERCEDES-BENZ,CL 500,"\"Ab MFK\"",4,Automat sequentiell
silber mét.,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,904.0,grau,139200,RENAULT,ALPINE,"\"Ab MFK\"",4,Schaltgetriebe manuell
silber mét.,Coupé,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,11,2002,Benzin,500,907.0,schwarz,48300,MERCEDES-BENZ,CL 55 AMG,"\"Ab MFK\"",4,Automat
silber mét.,Coupé,2100,Zuzwil,null,Occasion,null,null,2,Allrad,8,1986,Benzin,600,949.0,null,1000,FORD,"",null,2,Schaltgetriebe
blau mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,2,1999,Benzin,360,131.0,schwarz,96500,MERCEDES-BENZ,S 55 AMG,"\"Ab MFK\"",5,Automat
