carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,Black,"","","","","",Land Rover,"","",0,"",RANGE ROVER,SUV / Geländewagen,false,Match,Zuzwil,Black,Land Rover,car,""
"",Zuzwil,Black,"","","","","",Land Rover,"","",0,"",RANGE ROVER,SUV / Geländewagen,false,Match,Zuzwil,Black,Land Rover,car,""
"",Zuzwil,Black,"","","","","",Land Rover,"","",0,"",RANGE ROVER SPORT,SUV / Geländewagen,false,Match,Zuzwil,Black,Land Rover,car,""
"",Zuzwil,Black,"","","","","",Land Rover,"","",0,"",RANGE ROVER,SUV / Geländewagen,false,Match,Zuzwil,Black,Land Rover,car,""
"",Zuzwil,Silver,"","","","","",Rolls-Royce,"","",0,"",CORNICHE,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Rolls-Royce,"","",0,"",CORNICHE,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",ALPINE,Limousine,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",CLIO,Kleinwagen,false,Match,Zuzwil,Blue,Renault,car,""
"",Zuzwil,Blue,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Blue,Renault,car,""
"",Porrentruy,Silver,"","","","","",Alfa Romeo,"","",0,"",8C,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Blue,"","","","","",Honda,"","",0,"",LEGEND,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Gray,"","","","","",Lancia,"","",0,"",DELTA,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Toyota,"","",0,"",CELICA,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Toyota,"","",0,"",COROLLA,Kombi,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Toyota,"","",0,"",CARINA,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Toyota,"","",0,"",LAND CRUISER,SUV / Geländewagen,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Toyota,"","",0,"",COROLLA,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,White,"","","","","",Mazda,"","",0,"",MX-5,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Brown,"","","","","",Maserati,"","",0,"",QUATTROPORTE,Limousine,false,MisMatch,"","","",car,""
