modal,modal_variant,city,color,make,mileage,mileage_unit,price_on_request,carType,condition,currency,drive,country,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
M5,Limousine,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
SPIDER,Cabriolet,Zuzwil,Silver,Fiat,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
XK,Cabriolet,Zuzwil,Red,Jaguar,0,"",false,"","","","","",car,"","","",""
A4,Kombi,Zuzwil,Red,Audi,0,"",false,"","","","","",car,"","","",""
FRONTERA,SUV / Geländewagen,Zuzwil,Black,Opel,0,"",false,"","","","","",car,"","","",""
300,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,White,Bentley,0,"",false,"","","","","",car,"","","",""
S 600,Coupé,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
5 SERIES,Limousine,Zuzwil,Blue,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
E 320,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Other,Maserati,0,"",false,"","","","","",car,"","","",""
"",Kompaktvan / Minivan,Zuzwil,Red,Dodge,0,"",false,"","","","","",car,"","","",""
E 63 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S8,Limousine,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
COROLLA,Kombi,Zuzwil,Silver,Toyota,0,"",false,"","","","","",car,"","","",""
M6,Coupé,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
M5,Limousine,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
R5,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
DIABLO,Coupé,Zuzwil,Silver,Lamborghini,0,"",false,"","","","","",car,"","","",""
BOXSTER,Cabriolet,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
SLK 320,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Black,Land Rover,0,"",false,"","","","","",car,"","","",""
"","",Zuzwil,Black,Harley-Davidson,0,"",false,"","","","","",car,"","","",""
GALLARDO,Coupé,Zuzwil,Blue,Lamborghini,0,"",false,"","","","","",car,"","","",""
F360,Coupé,Zuzwil,Blue,Ferrari,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
135,Cabriolet,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
A112,Kleinwagen,Zuzwil,White,Autobianchi,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Limousine,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
MURCIÉLAGO,Coupé,Zuzwil,Blue,Lamborghini,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,White,Porsche,0,"",false,"","","","","",car,"","","",""
3200 GT,Coupé,Zuzwil,Yellow,Maserati,0,"",false,"","","","","",car,"","","",""
S6,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
