make,model,city,color,carType,condition,currency,drive,country,mileage,mileage_unit,price_on_request,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
MERCEDES-BENZ,E 55 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
BMW,M6,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,V8 Vantage,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,GALLARDO,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
CHEVROLET,CORVETTE,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
KAISER,"",Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 600,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
BMW-ALPINA,7 SERIES,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
BMW,323,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
JEEP,Grand Cherokee,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 63 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
PORSCHE,BOXSTER,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 600,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
PORSCHE,PANAMERA,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
BMW,745,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
ALFA ROMEO,ALFASUD,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
BMW,330,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
FORD (USA),MUSTANG,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
NSU,"",Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
LANCIA,DELTA,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ROLLS-ROYCE,CORNICHE,Basel,black,"","","","","",0,"",false,car,"","","",""
