ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
1145.0,MERCEDES-BENZ,SL 500,weiss mét.,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,anthrazit,15600,2,Automat,white,12.7,l/100km
310.0,RENAULT,"",grau mét.,Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,schwarz,45000,0,Schaltgetriebe,grey,null,""
586.0,BMW-ALPINA,5 SERIES,schwarz,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,schwarz,94400,5,Automat,black,14.9,l/100km
151.0,MASERATI,QUATTROPORTE,blau mét.,Limousine,4691,Zuzwil,365 g/km,Occasion,G,15.7 l/100km,4,Hinterradantrieb,2,2009,Benzin,431,beige,96000,5,Automat sequentiell,blue,15.7,l/100km
614.0,VW,PHAETON,schwarz mét.,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,10,2002,Benzin,420,blau,50400,4,Automat sequentiell,black,15.6,l/100km
828.0,BMW,"",schwarz mét.,Coupé,2315,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1979,Benzin,143,blau,157400,5,Schaltgetriebe,black,null,""
854.0,ASTON MARTIN,DB9,silber,Coupé,5935,Zuzwil,394 g/km,Occasion,G,16.5 l/100km,2,Hinterradantrieb,1,2005,Benzin,457,schwarz,40800,4,Automat sequentiell,silver,16.5,l/100km
990.0,LAMBORGHINI,AVENTADOR,silber mét.,Cabriolet,6498,Sursee,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,1,2014,Benzin,700,schwarz,150,2,Automatisiertes Schaltgetriebe,silver,16.0,l/100km
1061.0,BMW,M3,silber mét.,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,5,Automatisiertes Schaltgetriebe,silver,11.9,l/100km
321.0,FORD,"",grau mét.,Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,schwarz,1,2,Schaltgetriebe,grey,null,""
